"variable","lower","upper","x","y","description"
"2-pointers per game",-2.64824800232213,-1.57021339778832,0.974358974358974,-2.10923070005523,"2-pointers per game"
"2-pointers per game",-2.64674550248338,-1.56942153712149,0.975609756097561,-2.10808351980243,"2-pointers per game"
"2-pointers per game",-2.64414155315955,-1.5680487057322,0.977777777777778,-2.10609512944587,"2-pointers per game"
"2-pointers per game",-2.64196311239505,-1.56689974432805,0.979591836734694,-2.10443142836155,"2-pointers per game"
"2-pointers per game",-2.64011376034122,-1.56592402115708,0.981132075471698,-2.10301889074915,"2-pointers per game"
"2-pointers per game",-2.63929003713997,-1.56548932472353,0.981818181818182,-2.10238968093175,"2-pointers per game"
"2-pointers per game",-2.63682580152266,-1.56418853464209,0.983870967741935,-2.10050716808238,"2-pointers per game"
"2-pointers per game",-2.63210461792254,-1.56169486767826,0.98780487804878,-2.0968997428004,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.61747912972952,-1.55395730729365,1,-2.08571821851158,"2-pointers per game"
"2-pointers per game",-2.599862982342,-1.54461232412053,1.01470588235294,-2.07223765323126,"2-pointers per game"
"2-pointers per game",-2.5993295089733,-1.54432889819906,1.01515151515152,-2.07182920358618,"2-pointers per game"
"2-pointers per game",-2.59846583373771,-1.54386998770817,1.01587301587302,-2.07116791072294,"2-pointers per game"
"2-pointers per game",-2.59784288830604,-1.54353894695716,1.01639344262295,-2.0706909176316,"2-pointers per game"
"2-pointers per game",-2.5964659504426,-1.54280710325717,1.01754385964912,-2.06963652684988,"2-pointers per game"
"2-pointers per game",-2.59488134233502,-1.54196467433274,1.0188679245283,-2.06842300833388,"2-pointers per game"
"2-pointers per game",-2.59399590501201,-1.5414938501373,1.01960784313725,-2.06774487757466,"2-pointers per game"
"2-pointers per game",-2.59352664618727,-1.54124429730517,1.02,-2.06738547174622,"2-pointers per game"
"2-pointers per game",-2.59252952399096,-1.54071396072315,1.02083333333333,-2.06662174235706,"2-pointers per game"
"2-pointers per game",-2.58896895951034,-1.53881949306665,1.02380952380952,-2.06389422628849,"2-pointers per game"
"2-pointers per game",-2.58896895951034,-1.53881949306665,1.02380952380952,-2.06389422628849,"2-pointers per game"
"2-pointers per game",-2.58827432201382,-1.53844976648296,1.02439024390244,-2.06336204424839,"2-pointers per game"
"2-pointers per game",-2.58754499016995,-1.53806152745582,1.025,-2.06280325881289,"2-pointers per game"
